ENSG00000039600	ENSG00000127191
ENSG00000039600	ENSG00000272325
ENSG00000039650	ENSG00000108395
ENSG00000039650	ENSG00000177791
ENSG00000039650	ENSG00000185247
ENSG00000039650	ENSG00000213416
ENSG00000043093	ENSG00000183283
ENSG00000043093	ENSG00000204599
ENSG00000043462	ENSG00000100351
ENSG00000047056	ENSG00000182944
ENSG00000047230	ENSG00000047230
ENSG00000047230	ENSG00000090487
ENSG00000047579	ENSG00000108798
ENSG00000047579	ENSG00000112576
ENSG00000047579	ENSG00000128185
ENSG00000047579	ENSG00000132254
ENSG00000048540	ENSG00000092199
ENSG00000048540	ENSG00000099783
ENSG00000048540	ENSG00000104064
ENSG00000048540	ENSG00000105700
ENSG00000048540	ENSG00000106305
ENSG00000048540	ENSG00000112559
ENSG00000048540	ENSG00000134686
ENSG00000048540	ENSG00000138380
ENSG00000048540	ENSG00000143702
ENSG00000048540	ENSG00000151332
ENSG00000048540	ENSG00000160062
ENSG00000048540	ENSG00000169155
ENSG00000048540	ENSG00000175602
ENSG00000048540	ENSG00000184672
ENSG00000048540	ENSG00000185002
ENSG00000048540	ENSG00000198728
ENSG00000049245	ENSG00000103496
ENSG00000050748	ENSG00000075702
ENSG00000050748	ENSG00000089775
ENSG00000050748	ENSG00000143368
ENSG00000050748	ENSG00000164118
ENSG00000051009	ENSG00000105404
ENSG00000051009	ENSG00000115255
ENSG00000051009	ENSG00000133318
ENSG00000051009	ENSG00000139970
ENSG00000051108	ENSG00000182944
ENSG00000051128	ENSG00000075539
ENSG00000051128	ENSG00000264364
ENSG00000051620	ENSG00000249915
ENSG00000053371	ENSG00000162482
ENSG00000053501	ENSG00000168000
ENSG00000054116	ENSG00000167515
ENSG00000054148	ENSG00000142182
ENSG00000056972	ENSG00000112559
ENSG00000056972	ENSG00000127191
ENSG00000056998	ENSG00000104812
ENSG00000058673	ENSG00000076242
ENSG00000062725	ENSG00000086065
ENSG00000062725	ENSG00000090432
ENSG00000062725	ENSG00000099139
ENSG00000062725	ENSG00000107175
ENSG00000062725	ENSG00000111186
ENSG00000062725	ENSG00000122756
ENSG00000062725	ENSG00000127580
ENSG00000062725	ENSG00000132718
ENSG00000062725	ENSG00000164627
ENSG00000062725	ENSG00000167700
ENSG00000062725	ENSG00000171843
ENSG00000062725	ENSG00000174460
ENSG00000062725	ENSG00000179041
ENSG00000062725	ENSG00000183751
ENSG00000062725	ENSG00000197901
ENSG00000062725	ENSG00000241973
ENSG00000062725	ENSG00000255150
ENSG00000063244	ENSG00000109220
ENSG00000063244	ENSG00000131931
ENSG00000063244	ENSG00000132680
ENSG00000063244	ENSG00000135250
ENSG00000063244	ENSG00000136450
ENSG00000063244	ENSG00000160201
ENSG00000063244	ENSG00000163530
ENSG00000063244	ENSG00000165626
ENSG00000063244	ENSG00000168066
ENSG00000063244	ENSG00000171357
ENSG00000063244	ENSG00000179950
ENSG00000063244	ENSG00000275895
ENSG00000064102	ENSG00000197343
ENSG00000064489	ENSG00000120498
ENSG00000064655	ENSG00000143006
ENSG00000064655	ENSG00000157110
ENSG00000064961	ENSG00000175602
ENSG00000065328	ENSG00000076003
ENSG00000065328	ENSG00000095066
ENSG00000065328	ENSG00000101004
ENSG00000065328	ENSG00000108395
ENSG00000065328	ENSG00000112877
ENSG00000065328	ENSG00000114107
ENSG00000065328	ENSG00000136436
ENSG00000065328	ENSG00000160062
ENSG00000065328	ENSG00000163530
ENSG00000065328	ENSG00000169155
ENSG00000065328	ENSG00000171346
ENSG00000065328	ENSG00000175602
ENSG00000065427	ENSG00000106305
ENSG00000066117	ENSG00000130307
ENSG00000066117	ENSG00000136436
ENSG00000066117	ENSG00000171346
ENSG00000066117	ENSG00000175602
ENSG00000066117	ENSG00000182195
ENSG00000066379	ENSG00000147140
ENSG00000066629	ENSG00000143319
ENSG00000067066	ENSG00000116030
ENSG00000067082	ENSG00000204371
ENSG00000067560	ENSG00000175220
ENSG00000067606	ENSG00000102981
ENSG00000068394	ENSG00000101004
ENSG00000068745	ENSG00000188313
ENSG00000069011	ENSG00000131721
ENSG00000069011	ENSG00000157110
ENSG00000069011	ENSG00000161202
ENSG00000069431	ENSG00000254772
ENSG00000069667	ENSG00000087191
ENSG00000070423	ENSG00000072401
ENSG00000070423	ENSG00000078967
ENSG00000070423	ENSG00000109332
ENSG00000070831	ENSG00000128283
ENSG00000071051	ENSG00000084463
ENSG00000071051	ENSG00000087077
ENSG00000071051	ENSG00000111605
ENSG00000071051	ENSG00000114423
ENSG00000071051	ENSG00000120549
ENSG00000071051	ENSG00000129245
ENSG00000071051	ENSG00000138443
ENSG00000071051	ENSG00000143368
ENSG00000071051	ENSG00000149532
ENSG00000071051	ENSG00000165119
ENSG00000071051	ENSG00000213672
ENSG00000071082	ENSG00000182944
ENSG00000071539	ENSG00000071539
ENSG00000071539	ENSG00000072201
ENSG00000071539	ENSG00000091073
ENSG00000071539	ENSG00000093010
ENSG00000071539	ENSG00000095539
ENSG00000071539	ENSG00000103202
ENSG00000071539	ENSG00000105501
ENSG00000071539	ENSG00000108187
ENSG00000071539	ENSG00000113575
ENSG00000071539	ENSG00000113615
ENSG00000071539	ENSG00000114698
ENSG00000071539	ENSG00000119431
ENSG00000071539	ENSG00000123415
ENSG00000071539	ENSG00000124688
ENSG00000071539	ENSG00000127054
ENSG00000071539	ENSG00000138131
ENSG00000071539	ENSG00000138134
ENSG00000071539	ENSG00000140950
ENSG00000071539	ENSG00000141527
ENSG00000071539	ENSG00000143416
ENSG00000071539	ENSG00000143537
ENSG00000071539	ENSG00000145287
ENSG00000071539	ENSG00000152213
ENSG00000071539	ENSG00000156795
ENSG00000071539	ENSG00000157110
ENSG00000071539	ENSG00000160360
ENSG00000071539	ENSG00000166394
ENSG00000071539	ENSG00000168237
ENSG00000071539	ENSG00000172073
ENSG00000071539	ENSG00000173846
ENSG00000071539	ENSG00000182919
ENSG00000071539	ENSG00000185345
ENSG00000071539	ENSG00000187838
ENSG00000071539	ENSG00000196290
ENSG00000071539	ENSG00000196372
ENSG00000071539	ENSG00000197343
ENSG00000071539	ENSG00000204175
ENSG00000071539	ENSG00000212900
ENSG00000071539	ENSG00000213722
ENSG00000071539	ENSG00000213930
ENSG00000071539	ENSG00000268500
ENSG00000072110	ENSG00000152422
ENSG00000072110	ENSG00000177791
ENSG00000072110	ENSG00000185247
ENSG00000072201	ENSG00000079462
ENSG00000072201	ENSG00000100201
ENSG00000072201	ENSG00000100379
ENSG00000072201	ENSG00000103154
ENSG00000072201	ENSG00000105404
ENSG00000072201	ENSG00000105700
ENSG00000072201	ENSG00000106305
ENSG00000072201	ENSG00000112877
ENSG00000072201	ENSG00000113595
ENSG00000072201	ENSG00000117153
ENSG00000072201	ENSG00000119929
ENSG00000072201	ENSG00000120658
ENSG00000072201	ENSG00000124357
ENSG00000072201	ENSG00000127191
ENSG00000072201	ENSG00000128050
ENSG00000072201	ENSG00000129187
ENSG00000072201	ENSG00000130066
ENSG00000072201	ENSG00000131773
ENSG00000072201	ENSG00000135334
ENSG00000072201	ENSG00000136436
ENSG00000072201	ENSG00000136450
ENSG00000072201	ENSG00000145365
ENSG00000072201	ENSG00000147274
ENSG00000072201	ENSG00000149089
ENSG00000072201	ENSG00000153574
ENSG00000072201	ENSG00000160062
ENSG00000072201	ENSG00000161202
ENSG00000072201	ENSG00000165140
ENSG00000072201	ENSG00000166228
ENSG00000072201	ENSG00000166925
ENSG00000072201	ENSG00000169155
ENSG00000072201	ENSG00000171346
ENSG00000072201	ENSG00000174943
ENSG00000072201	ENSG00000175602
ENSG00000072201	ENSG00000176774
ENSG00000072201	ENSG00000182195
ENSG00000072201	ENSG00000183386
ENSG00000072201	ENSG00000185247
ENSG00000072201	ENSG00000204371
ENSG00000072201	ENSG00000213416
ENSG00000072201	ENSG00000265817
ENSG00000072364	ENSG00000127191
ENSG00000072364	ENSG00000196470
ENSG00000072401	ENSG00000204599
ENSG00000072958	ENSG00000092199
ENSG00000072958	ENSG00000108309
ENSG00000072958	ENSG00000129245
ENSG00000072958	ENSG00000145365
ENSG00000072958	ENSG00000160062
ENSG00000072958	ENSG00000182195
ENSG00000072958	ENSG00000188786
ENSG00000073111	ENSG00000076003
ENSG00000073536	ENSG00000182944
ENSG00000074319	ENSG00000138180
ENSG00000074319	ENSG00000148356
ENSG00000074319	ENSG00000160948
ENSG00000074319	ENSG00000166387
ENSG00000074319	ENSG00000171346
ENSG00000074319	ENSG00000185359
ENSG00000074527	ENSG00000143382
ENSG00000074527	ENSG00000188313
ENSG00000075142	ENSG00000075142
ENSG00000075142	ENSG00000136436
ENSG00000075292	ENSG00000095066
ENSG00000075292	ENSG00000123124
ENSG00000075292	ENSG00000136436
ENSG00000075292	ENSG00000171345
ENSG00000075292	ENSG00000171346
ENSG00000075292	ENSG00000172638
ENSG00000075292	ENSG00000175602
ENSG00000075292	ENSG00000188313
ENSG00000075292	ENSG00000198954
ENSG00000075292	ENSG00000213416
ENSG00000075413	ENSG00000175793
ENSG00000075624	ENSG00000075624
ENSG00000075624	ENSG00000125868
ENSG00000075624	ENSG00000165410
ENSG00000075624	ENSG00000172757
ENSG00000075624	ENSG00000184009
ENSG00000075914	ENSG00000176095
ENSG00000076003	ENSG00000076003
ENSG00000076003	ENSG00000129084
ENSG00000076003	ENSG00000136695
ENSG00000076003	ENSG00000155754
ENSG00000076003	ENSG00000163156
ENSG00000076003	ENSG00000168395
ENSG00000076003	ENSG00000171843
ENSG00000076053	ENSG00000131773
ENSG00000076053	ENSG00000140382
ENSG00000076053	ENSG00000147274
ENSG00000076053	ENSG00000165119
ENSG00000076053	ENSG00000175602
ENSG00000076242	ENSG00000137699
ENSG00000076242	ENSG00000139926
ENSG00000076242	ENSG00000185019
ENSG00000076242	ENSG00000257315
ENSG00000076685	ENSG00000076685
ENSG00000076685	ENSG00000120162
ENSG00000076685	ENSG00000129245
ENSG00000076685	ENSG00000143156
ENSG00000076685	ENSG00000184967
ENSG00000076685	ENSG00000275074
ENSG00000076924	ENSG00000084072
ENSG00000077312	ENSG00000077312
ENSG00000077312	ENSG00000123144
ENSG00000077348	ENSG00000120549
ENSG00000077380	ENSG00000165169
ENSG00000077454	ENSG00000112559
ENSG00000077454	ENSG00000115310
ENSG00000077458	ENSG00000213416
ENSG00000077463	ENSG00000135374
ENSG00000077800	ENSG00000090061
ENSG00000077800	ENSG00000143156
ENSG00000078043	ENSG00000103275
ENSG00000078043	ENSG00000166833
ENSG00000078061	ENSG00000117153
ENSG00000078399	ENSG00000087077
ENSG00000078399	ENSG00000157110
ENSG00000078399	ENSG00000188313
